County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Cavan,Ballymachugh G.F.C.,Extension to existing GAA clubrooms,"€149,724",Sports Club,Gaelic Games
Cavan,Belturbet GAA Club,Install natural grass surface with walking track,"€150,000",Sports Club,Gaelic Football
Cavan,Belturbet Golf Club,"Drainage, Develop tee boxes.Tractor Mower","€39,100",Community Group,Golf
Cavan,Castlerahan Community Development Ltd,Castlerahan Community Development Ltd,"€24,383",Community Group,Soccer
Cavan,Cavan and Monaghan ETB,Development of a 3G Synthetic Pitch,"€200,000",Education & Training Board,Multi-sport
Cavan,Cavan and Monaghan ETB,Upgrading of Sports Hall Facility-Virginia College,"€35,456",Education & Training Board,Multi-sport
Cavan,Cavan Archers,Cavan Archers tournament equipment,"€12,750",Community Group,Archery
Cavan,Cavan County Council,Bowling Green Clubhouse,"€23,321",Local Authority,Multi-sport
Cavan,Cavan County Council,Multi purpose sports equipment,"€17,131",Local Authority,Multi-sport
Cavan,Cavan Triathlon Club,Let's Tri Cavan Equipment,"€8,251",Sports Club,Triathlon
Cavan,Cootehill Celtic GAA,GAA CLUB (& COMMUNITY) NEW TRAINING FACILITY,"€150,000",Sports Club,Gaelic Games
Cavan,Corlough GAA Club,Upgrade pitch surface facilities and training area,"€37,890",Sports Club,Gaelic Games
Cavan,Cornafean GFC,Upgrade walking track and install lights,"€31,954",Sports Club,Gaelic Games
Cavan,County Cavan Rugby Football Club,Construct new pitch,"€113,850",Sports Club,Rugby
Cavan,Crosserlough GFC,Redevelopment of main Pitch with Walking Track,"€130,000",Sports Club,Gaelic Games
Cavan,Cuchulainns Gaelic Football Club,400m tarmac athletics track & training field.,"€150,000",Sports Club,Gaelic Games
Cavan,"Cuman Gael an Chabhain (Cavan Gaels GAA
Club)",Walking / Running track Terry Coyle Park,"€38,539",Sports Club,Gaelic Games
Cavan,Denn GFC,Denn GFC Dressing Rooms and Gym,"€100,000",Sports Club,Gaelic Football
Cavan,Droim Dhuin Eire Og GAA,Drumgoon GAABoyle Park Sports Hall Completion,"€40,000",Sports Club,Gaelic Games
Cavan,Drumalee,Develop Multi Use Games Area & Community Walkway,"€140,531",Sports Club,Gaelic Football
Cavan,Drung GFC,"New Dressing Rooms, Shower & Toilet Facilities","€150,000",Sports Club,Gaelic Games
Cavan,Kill Shamrock's GAA,Develop New Playing Pitch,"€100,000",Sports Club,Gaelic Games
Cavan,Killinkere GFC,Additional changing room application,"€105,000",Sports Club,Gaelic Games
Cavan,Knockbride G F C,Main Pitch Upgrade,"€80,000",Sports Club,Gaelic Football
Cavan,Laragh Sports Partnership,Natural playing surface pitch development.,"€150,000",Local Sports Partnership,Gaelic Games
Cavan,Lavey GAA Club,Refurbishments & track construction at Lavey GAA,"€137,750",Sports Club,Gaelic Football
Cavan,Loch Gowna G.A.A. Club,Upgrading of Playing Pitch,"€88,236",Sports Club,Gaelic Games
Cavan,Mullahoran GFC,Redevelopment of Main Playing Pitch Surface,"€127,293",Sports Club,Gaelic Football
Cavan,MUNTERCONNAUGHT GAA CLUB,Enhancements to existing Club Facilities,"€50,000",Sports Club,Gaelic Games
Cavan,"Ramor United GFc & Ramor Community
Sports Park",Upgrade of - Lights;Playing Surface & Drainage;Gym,"€150,000",Sports Club,Gaelic Games
Cavan,Ramor Water Sports Club,Ramor Water Sports Club SCP Application,"€100,917",Sports Club,Sailing
Cavan,Redhills GAC,Redevelopment of main playing pitch,"€144,000",Sports Club,Gaelic Games
Cavan,Saint Mary's Gaa,St Marys GFC Swanlinbar,"€127,338",Sports Club,Gaelic Games
Cavan,Shercock Gaelic Football Club,Shercock Gfc Dressing Rooms & Gym development,"€150,000",Sports Club,Gaelic Football
Cavan,"SHERCOCK SPORTS AND
RECREATIONAL FACILITIES LTD",Regional Indoor Athletics & Sports Centre -Phase 1,"€200,000",Sports Club,Athletics
Cavan,Smugglers Cycling Club,Static Cycling Equipment,"€2,640",Sports Club,Cycling
Cavan,St. Clare's College,Sports Field Development,"€103,285",School (primary or second level),Gaelic Games
Cavan,Templeport Saint Aidans GAA Club,Upgrade of Club rooms for the wider community,"€150,000",Sports Club,Gaelic Football
Cavan,UCL Harps FC,"pitch extension, walking track development","€56,412",Sports Club,Soccer
Cavan,Virginia Rugby Club,Virginia RFC - New Changing Rooms & Training Area,"€146,812",Sports Club,Rugby
Cavan,Virginia Triathlon & Cycling Club,Growing Virginia Triathlon & Cycling Club(VTCC),"€19,754",Sports Club,Triathlon
Clare,14th Clare Scout Group,"Kayaks, Essential Kayaking Safety Gear & Trailer.","€14,220",Scout Troop,Canoeing / Kayaking
Clare,1st Clare Shannon Scouts,Urban Outdoor Activity Base Camp,"€25,000",Scout Troop,Multi-sport
Clare,"Ballina Killaloe Sports & Community Facilities
Development Co. Ltd.",Rugby and Athletic Training Facilities,"€120,000",Community Group,Multi-sport
Clare,Ballyea GAA Club,Ballyea GAA Club Pitch3 Phase Drainage System,"€144,000",Sports Club,Hurling
Clare,Bodyke GAA Club,Bodyke GAA Club Development,"€134,932",Sports Club,Hurling
Clare,Bridge United AFC,Astro Turf Pitch & Floodlight to Playing Pitch,"€148,000",Sports Club,Soccer
Clare,Broadford Gaelic Athletic Association Club,"Broadford GAA Fencing, Dugouts & Lighting Project","€19,124",Sports Club,Hurling
Clare,Burren Utd. Schoolboys Soccer Club,Upgrading/Regeneration Of Home Playing Pitch,"€25,000",Sports Club,Soccer
Clare,Burren Way,"Set up a branch of ""Mountain Meitheal"" in Clare","€5,954",Community Group,Hillwalking
Clare,Castle Carraig Riding Club,Enhance work area for the whole community :,"€23,450",Community Group,Equestrian Sports
Clare,Clare Camogie,Main Pitch upgrade/drainage & ancilliary equipment,"€199,304",Sports Club,Camogie
Clare,Clare County Council,Active Ennis Lees Road Cricket Wicket Development,"€11,357",Local Authority,Multi-sport
Clare,Clare County Council,Active Ennis Tim Smythe Park Development,"€200,000",Local Authority,Multi-sport
Clare,Clare County Council,Active Kilrush Sports Complex Development,"€200,000",Local Authority,Multi-sport
Clare,Clare District Soccer League,Safety Project at Frank Healy Park,"€10,000",Sports Club,Soccer
Clare,Clare Water Safety,Equipment for Clare Water Safety Area,"€50,000",Community Group,Swimming
Clare,Clarecastle GAA Club,Provision of Female Dressing Rooms,"€142,000",Sports Club,Gaelic Games
Clare,Clondegad GAA Club,Upgrade Club House Facilities at Clondegad GAC,"€140,000",Sports Club,Gaelic Football
Clare,Clonlara GAA Club,Clonlara GAA Community Facilities Development Plan,"€150,000",Sports Club,Hurling
Clare,Clooney Quinn GAA Club,Essential Field drainage & ancillary work.,"€65,000",Sports Club,Gaelic Games
Clare,Coolmeen GAA Club,Upgrade Existing Shower Facilities/ Dressing Rooms,"€50,000",Sports Club,Gaelic Football
Clare,CORBALLY UNITED,Clubhouse Roof Refurbishment,"€35,435",Sports Club,Soccer
Clare,Corofin Camogie Club,Provision of equipment for a small Camogie Club,"€2,024",Sports Club,Camogie
Clare,County Clare Agricultural Show Society Limited,Upgrading of Outdoor and Indoor Showjumping Arena,"€150,000",Sports Centre,Equestrian Sports
Clare,Crusheen G.A.A. Club,Artificial Surface and fencing,"€27,027",Sports Club,Gaelic Games
Clare,Doonbeg Football Club,Reconstruct and Extend existing Clubhouse,"€150,000",Sports Club,Gaelic Football
Clare,Eire Og Inis,All weather and indoor gym facilities at Eire Og,"€140,639",Sports Club,Gaelic Games
Clare,Ennis Boxing Club,To purchase Sports Equipment,"€8,000",Sports Club,Boxing
Clare,Ennis Golf Club,...SAFETY AND PLAY-ABILITY,"€82,193",Sports Club,Golf
Clare,Ennis Lawn Tennis and Badminton Club,Ennis Tennis and Badminton 2022,"€98,000",Sports Club,Tennis
Clare,Ennis Sub Aqua club,Ennis Sub Aqua 2017 Diving Boat application,"€20,000",Sports Club,Diving/Snorkelling
Clare,"Ennistymon Parish Project Community Centre
Ltd.",Ennistymon Parish Project Community Centre,"€75,000",Community Group,Multi-sport
Clare,Fern Celtic,"Erection of sports fencing , netting and dugouts","€37,143",Sports Club,Soccer
Clare,GoTri Racing Triathlon Club,GoTri Application: Safety and Training Gear 2017,"€40,000",Sports Club,Triathlon
Clare,Inagh Kilnamona Hurling Club,Artificial playing surface development,"€125,000",Sports Club,Gaelic Games
Clare,Irish Wheelchair Association-Sport,Banner Spokes Wheelchair Sports club,"€23,088",National Governing Body of Sport,Wheelchair Sport
Clare,Kilkee Sub Aqua Club,Provision of an air bank system for club members,"€15,028",Sports Club,Diving/Snorkelling
Clare,Killaloe Ballina Tennis club,Development of two indoor tennis courts,"€150,000",Sports Club,Tennis
Clare,Killaloe Sailing Club,Sail Training Dinghies for Children and Teenagers,"€18,370",Sports Club,Sailing
Clare,Killanena Flagmount Community Games,Killanena Flagmount Community Games,"€1,047",Sports Club,Athletics
Clare,Killanena GAA Club,Upgrade of Killanena GAA facilities,"€66,190",Sports Club,Gaelic Games
Clare,Kilmaley Camogie Club,Kilmaley Camogie Club Equipment 2017,"€6,081",Sports Club,Camogie
Clare,Kilmaley GAA Club,Construction of clubhouse,"€150,000",Sports Club,Gaelic Games
Clare,"Kilmurry Ibrickane Community Centre
Committee Ltd","Mullagh Sports Field Improvement Work, Clare","€150,000",Community Group,Multi-sport
Clare,Kilmurry Ibrickane GAA,Upgrade/Regeneration of Existing GAA Pitch,"€150,000",Sports Club,Gaelic Football
Clare,Kilrush Rugby Club,Kilrush RFC Pitch Development,"€55,000",Sports Club,Rugby
Clare,Lahinch Swim Club,Upgrade of Facilities and Training Equipment,"€25,000",Sports Club,Swimming
Clare,Limerick & Clare Education & Training Board,Burren OEC Toilet Refurbishment,"€69,660",Education & Training Board,Multi-sport
Clare,Limerick & Clare Education & Training Board,Upgrading of Existing Athletics Track,"€134,887",Education & Training Board,Multi-sport
Clare,Lough Derg Football Club,Development of an Underage Training Pitch,"€63,000",Sports Club,Soccer
Clare,Mountshannon Celtic Football Club,Development of pitch,"€22,000",Sports Club,Soccer
Clare,Muintir Na Tire Dysart Branch,Replace Hand Ball FloorHeators & Defibrillator,"€12,153",Sports Centre,Multi-sport
Clare,Newmarket Celtic Development Committee,All Weather Pitch,"€62,000",Sports Club,Soccer
Clare,Newmarket-on-Fergus Community Centre Ltd,Squash court & Sports hall refurbishment,"€23,677",Community Group,Handball
Clare,Newmarket-on-fergus GAA Club,Cora Chaitlin GAA Renovation Project,"€140,000",Sports Club,Gaelic Games
Clare,O'Callaghans Mills GAA Club,Upgrade to drainage in our pitch in OCMills,"€25,000",Sports Club,Hurling
Clare,Park Rangers AFC Limited,Artificial Playing Surface & Running Track,"€150,000",Sports Club,Soccer
Clare,Parkville FC,Erection of Fencing & Provision of Dressing Rooms,"€35,500",Sports Club,Soccer
Clare,Parteen Pitch and Putt Club,Course Machinery,"€57,730",Sports Club,Pitch and Putt
Clare,Ruan GAA Club,Upgrade of Local GAA Grounds,"€72,349",Sports Club,Hurling
Clare,Scariff rugby club,Development of Indoor Astro Turf Pitch,"€145,000",Sports Club,Rugby
Clare,Scariff-Ogonnelloe Camogie Club,Training and Fitness Equipment,"€4,781",Sports Club,Camogie
Clare,Shannon Town United,Shannon Town Utd Dressing Rooms Construction,"€137,750",Sports Club,Soccer
Clare,Sixmilebridge Camogie Club,Equipment for coaching camogie,€912,Sports Club,Camogie
Clare,Sixmilebridge GAA Club,Sixmilebridge Gaa Arena (Indoor Astro ),"€150,000",Sports Club,Gaelic Games
Clare,Smith O Brien gaa club,"SMITH O BRIENS GAA CLUHOUSE/COMMUNITY
CENTRE","€146,926",Sports Club,Gaelic Games
Clare,SPANISH POINT GOLF CLUB,"CHANGING ROOM,PRACTICE AREA AND EQUIPMENT","€19,000",Sports Club,Golf
Clare,St Cronans AC,St Cronans AC,"€7,000",Sports Club,Athletics
Clare,St Flannans (Killaloe) Diocesan Trust,Crusheen Community Centre,"€25,000",Diocesan Trust,Multi-sport
Clare,St Flannans (Killaloe) Diocesan Trust,Sports Hall,"€141,559",Diocesan Trust,Multi-sport
Clare,St Flannans (Killaloe) Diocesan Trust,The Hollow Playing Area Upgrade,"€47,750",Diocesan Trust,Multi-sport
Clare,St Josephs Miltown Malbay GAA Club,Development of a Walking/Running/Exercise track,"€82,000",Sports Club,Gaelic Football
Clare,St Pats Soccer Club Limited,Main Pitch Drainage,"€45,826",Sports Club,Soccer
Clare,St Senans RFC,St Senans RFC Club House expansion.,"€150,000",Sports Club,Rugby
Clare,Tuamgraney Handball Club,Female Changing Room / Heat & Ventilation System,"€26,823",Sports Club,Handball
Clare,Tubber Gaa,Tubber GAA Pitch & Walking Track Development 2017,"€143,915",Sports Club,Hurling
Clare,Tulla Athletic Club,Tulla AC Walking/jogging track,"€20,500",Sports Club,Athletics
Clare,Tulla GAA Club,Provision of Gym Facility at Tulla GAA Club,"€150,000",Sports Club,Gaelic Games
Clare,West Clare Baseball Club,Pitch drainage,"€18,850",Sports Club,Baseball
Clare,West Clare Sports & Fitness Club,Building with 4 sprint lanes,"€149,579",Sports Club,Athletics
Clare,Whitegate GAA Club,Upgrade the playing surface of our practice pitch,"€79,536",Sports Centre,Gaelic Games
Clare,WOLFE TONES CAMOGIE CLUB,MAIN PITCH DEVELOPMENT,"€5,897",Sports Club,Gaelic Games
Clare,Wolfe Tones na Sionna,Resurface Existing Artificial Playing Pitches,"€143,153",Sports Club,Gaelic Games
Cork,102nd Kilbrittain Cork,Addition of toilets onto our clubhouse.,"€22,800",Scout Troop,Multi-sport
Cork,25th Cork Cobh Scouts,25th Cork Scouts - Outdoor Equipment Investment,"€3,150",Scout Troop,Multi-sport
Cork,45th/62nd Blarney Scout Unit,Purchase of equipment for the Scout Unit,"€12,219",Scout Troop,Hillwalking
Cork,Active Connections ltd,Connect,"€10,243",Special Interest Group,Multi-sport
Cork,Aghinagh GAA Club,Replacement of roadside and pitchside fencing,"€36,939",Sports Club,Gaelic Football
Cork,Ardfield Rathbarry Galleyflash Rowing Club,Expansion 2017,"€3,500",Sports Club,Rowing
Cork,Argideen Vale Lawn Tennis & Croquet Club,Refurbishment of existing clubhouse,"€87,851",Sports Club,Multi-sport
Cork,Avondale United FC,Grant Funding for Essential Works at Avondale Park,"€25,449",Sports Club,Soccer
Cork,"Ballinadee Community Hall Development
Association",Ballinadee Community Hall Restoration,"€30,000",Community Group,Multi-sport
Cork,Ballinascarthy GAA Club,Ballinascarthy GAA Grounds Improvement Scheme,"€39,000",Sports Club,Gaelic Games
Cork,Ballincollig AFC,Equipment Application Ballincollig AFC,"€20,000",Sports Club,Soccer
Cork,Ballincollig RFC,Installation of floodlighting,"€150,000",Sports Club,Rugby
Cork,Ballindenisk Polo Club,Purchase of Mower and grass harrow/roller/seeder,"€22,591",Sports Club,Equestrian Sports
Cork,Ballinhassig GAA Club,Sand Based Training Facility,"€37,803",Sports Club,Gaelic Games
Cork,Ballinlough Pitch & Putt Club,New Mower,"€9,062",Sports Club,Pitch and Putt
Cork,Ballyclough GAA,Supply and install indoor gym equipment,"€32,160",Sports Club,Gaelic Games
Cork,Ballydesmond GAA club,Ballydesmond GAA - Refurbishment of Dressing Rooms,"€30,959",Sports Club,Gaelic Football
Cork,Bandon Golf Club,Development of artificial surface facility,"€78,119",Sports Club,Golf
Cork,Bandon Rugby Club,Bandon RFC Floodlight and Pitch Development,"€92,851",Sports Club,Rugby
Cork,Banteer Community Sportsfield Ltd,Security fencing on pitches and sanding programme,"€53,000",Community Group,Multi-sport
Cork,Bantry Amateur Boxing Club,Replacement of old & damaged equipment & new defib,"€14,130",Sports Club,Boxing
Cork,Bantry Bay Sailing Club,Bantry Bay Sailing Club,"€65,350",Sports Club,Sailing
Cork,Bantry Blues GAA Club,Reconstruction of Existing Full Sized Pitch.,"€90,000",Sports Club,Gaelic Games
Cork,"Bantry Park Golf Club Company Limited by
Guarantee",Replace 20 year old Machinery enabling survival,"€94,000",Sports Club,Golf
Cork,Bantry Rowing Club,Bantry Rowing Club,"€32,200",Sports Club,Rowing
Cork,Bere Island GAA Club,Multi Use Games area for Bere Island,"€56,753",Sports Club,Gaelic Football
Cork,Bere Island Projects Group Ltd,Bringing Sailing back to Bere Island,"€21,970",Community Group,Multi-sport
Cork,Berehaven Golf & Amenity Park,Winter tee boxes and drainage repairs,"€38,000",Sports Club,Golf
Cork,Blackrock National Hurling Club,Artificial pitch development with floodlighting,"€114,388",Sports Club,Hurling
Cork,Blackrock Rowing Club,"Purchase of boat,trailer,oars and rowing machines.","€12,199",Sports Club,Rowing
Cork,Blackwater Sub Aqua Search & Rescue Club,Blackwater Sub-Aqua Search & Recovery River Boat,"€15,446",Sports Club,Diving/Snorkelling
Cork,Blackwater Triathlon Club,Application for funding for sports equipment,"€5,969",Sports Club,Triathlon
Cork,"Boherbue Community Sports Centre Company
Ltd.",Handball Court Essential Repairs & Refurbishment,"€23,075",Sports Centre,Handball
Cork,Boherbue GAA Club,Extension to dressing rooms and new ball stop nets,"€16,496",Sports Club,Gaelic Games
Cork,Brian Dillons Boxing Club,sports equiment,"€8,787",Sports Club,Boxing
Cork,Buttevant AFC,upgrade existing lighting and pitch mower.,"€68,579",Sports Club,Soccer
Cork,Carbery Rangers GAA Club,Drainage work and lights upgrade to Newtown Pitch,"€112,600",Sports Club,Gaelic Football
Cork,Carraig na bhFear GAA Club,Reconstruction of main GAA pitch,"€120,000",Sports Club,Gaelic Games
Cork,Carrigaline United AFC,Converting of natural grass pitch to all-weather,"€140,000",Sports Club,Soccer
Cork,Carrigtwohill GAA Club,Carrigtwohill GAA Dressing Room Complex,"€150,000",Sports Club,Gaelic Games
Cork,Casement Celtic F.C.,The Re-development of Casement Park,"€95,459",Sports Club,Soccer
Cork,Castlelack FC,"Goalposts, equipment and storage","€4,771",Sports Club,Soccer
Cork,Castlelyons Camogie Club,Up-date equipment for ‘Castlelyons Camogie Club,"€19,500",Sports Club,Camogie
Cork,Castlemagner GAA Field Development,Tarmac Walkway/Jogging Path circling club grounds,"€66,667",Sports Club,Gaelic Games
Cork,Castletownbere GAA,Drainage of Main Natural Pitch,"€93,762",Sports Club,Gaelic Games
Cork,Castletownbere Rowing Club,yawl boat trailer oars safety gear rowing machines,"€21,091",Sports Club,Rowing
Cork,Castletownroche G.A.A. Club,Pitch Redevelopment,"€73,577",Sports Club,Gaelic Games
Cork,Castletownroche National School BOM,Castletownroche NS and Community Facility,"€25,000",School (primary or second level),Multi-sport
Cork,Charleville Boxing Club,Replace Worn Out Equipment/ Purchase New Equipment,"€3,465",Sports Club,Boxing
Cork,Charleville Golf Club,Improved drainage of golf course,"€82,922",Sports Club,Golf
Cork,Circus Factory CLG,Equipment to upgrade safety and training space.,"€10,019",Special Interest Group,Gymnastics
Cork,Clann na nGael GAA Club [CORK],Re-surfacing of Existing Training Pitch,"€100,000",Sports Club,Gaelic Football
Cork,Clonakilty Community Sports Association,Obstacle and Agility Course for 4 - 12 year olds,"€30,800",Community Group,Community Games
Cork,Clonakilty GAA Club,Upgrade of facilities at Clonakilty GAA Club,"€61,913",Sports Club,Gaelic Games
Cork,Cloughduv Hurling Club,Generator for pitch flood Lighting,"€28,528",Sports Club,Hurling
Cork,CoAction West Cork,"pool hoist, indoor and outdoor gym equipment","€17,932",Disability Group,Special Olympics
Cork,Cobh Golf Club,All weather Coaching Academy,"€99,687",Sports Club,Golf
Cork,Cobh Ramblers Football Club,General Improvements of the club,"€10,796",Sports Club,Soccer
Cork,College Corinthians AFC Limited,Astroturf Expansion for College Corinthians AFC,"€95,958",Sports Club,Soccer
Cork,Collins Pitch and Putt Club,"refurbishment of clubhouse, sprinkler system","€25,000",Sports Club,Pitch and Putt
Cork,Cope Foundation,Outdoor Sports Facilities Floodlighting,"€50,000",Disability Group,Special Olympics
Cork,Cork Acro Gymnastics Club,Replacement and upgrade of gymnastics equipment,"€39,765",Sports Club,Gymnastics
Cork,Cork Admirals American Football Club,Cork Admirals American Football Club Application,"€7,111",Sports Club,American Football
Cork,Cork Association for Autism,Multi-Use Games Area Installation,"€29,402",Disability Group,Multi-sport
Cork,Cork Boat Club,Phased development of Cork Boat Club facilities.,"€120,000",Sports Club,Rowing
Cork,Cork Camogie Board,Outfitting dressing rooms and toilets,"€150,000",Sports Club,Camogie
Cork,Cork City Archery Club,Club Equipment,"€13,885",Sports Club,Archery
Cork,Cork City Council,Clashduv Park pitch,"€36,000",Local Authority,Multi-sport
Cork,Cork City Council,Cork Outdoor Gyms,"€20,000",Local Authority,Multi-sport
Cork,Cork City Council,Leisureworld Bishopstown Changing Rooms Upgrade,"€95,000",Local Authority,Multi-sport
Cork,Cork Colleges Camogie Council,Camogie Pitch surface drainage,"€41,000",Sports Club,Camogie
Cork,Cork County Boxing Board,New Cork Regional Boxing Centre of Excellence,"€41,438",Sports Centre,Boxing
Cork,Cork County Council,Bathview Amenity Area,"€149,000",Local Authority,Multi-sport
Cork,Cork County Council,Gymnasium at Dunmanway Swimming Pool Complex,"€149,000",Local Authority,Multi-sport
Cork,Cork Education and Training Board,Carrignafoy CC & Ballymore-Cobh Athletic Club,"€123,569",Education & Training Board,Multi-sport
Cork,Cork Institute of Technology,Upgrade Floodlights and Installation of Lift,"€84,997",Third level college,Athletics
Cork,Cork Local Sports Partnership Ltd,Cork SportsAbility Programme,"€20,000",Local Sports Partnership,Multi-sport
Cork,Cork Rugby Stadium Company Limited,Installation of an artificial pitch,"€200,000",Sports Stadium,Rugby
Cork,Cork Sub Aqua Club,Mobile Air/Nitrox Compressor,"€30,650",Sports Club,Diving/Snorkelling
Cork,"Courcey Rovers Ladies Football & Camogie
Club",Equipment Grant - Womens Gaelic Games Club,"€5,700",Sports Club,Gaelic Games
Cork,Cove Sailing Club,Cove Sailing Club - Sailing Training Dinghies,"€15,725",Sports Club,Sailing
Cork,Crosshaven AFC,Crosshaven AFC - Artificial playing surface,"€146,126",Sports Club,Soccer
Cork,Crosshaven GAA Club,"Hurling Wall area, dug outs and scoreboard..","€67,000",Sports Club,Gaelic Games
Cork,Crosshaven Rugby Football Club,Flood Lighting of main pitch at Crosshaven RFC,"€142,320",Sports Club,Rugby
Cork,Crosshaven Tennis Club,Clubhouse First Floor Extension and Front Balcony,"€96,770",Sports Club,Tennis
Cork,Delanys Rovers Football & Hurling Club,Delany Rovers GAA Club Refurbishment Project,"€82,695",Sports Club,Gaelic Games
Cork,"Department of Sport & Physical Activity,
University College Cork",Mardyke Gardens,"€199,633",Third level college,Multi-sport
Cork,Dolphin RFC,Floodlight upgrade,"€64,496",Sports Club,Rugby
Cork,DONERAILE GAA,DONERAILE GAA INDOOR ASTRO TURF SPORTS HALL,"€150,000",Sports Club,Gaelic Games
