Organisation,ALLOCATION,County,Project Title
Irish Martial Arts Commission,"€6,000",Dublin,IMAC Defibrillation Scheme
IRISH PONY CLUB,"€7,000",Kilkenny,Purchase equipment for training & competition
Irish Rugby Football Union,"€55,500",Dublin,Sports Equipment
Irish Table Tennis Association,"€25,000",Dublin,Inclusive Development programme
Irish Tenpin Bowling Association,"€5,000",Dublin,Irish Tenpin Bowling Assoc-NDP Coaching Expansion
Irish Tug of War Association,"€2,500",Wicklow,Swipe Card System for Athlete Registration
"Irish Waterski & Wakeboard
Federation Ltd","€17,500",Dublin,Supply of Boat and Wakeboard Obstacles
Irish Wheelchair Association-Sport,"€8,000",Cork,Wheelchair sports - Rebel Wheelers
Irish Wheelchair Association-Sport,"€2,000",Tipperary,Wheelchair Basketball Roscrea
Kerry County Council,"€31,000",Kerry,"Upgrade sports floor, gym and IFI gym equipment"
Kerry District League,"€76,000",Kerry,Kerry District League All Weather Pitch
Kerry GAA,"€61,000",Kerry,Kerry GAA Centre of Excellence Development
Kilkenny County Council,"€91,000",Kilkenny,Watersports Centre
Kilkenny County Council,"€83,500",Kilkenny,Community Sports Hub
Ladies Gaelic Football Association,"€22,000",Dublin,Coach Education Equipment and Delivery Tools
"Laois Athletic County Board (Laois
Athletics)","€6,000",Laois,Purchase of non-personal sports training equipment
Laois GAA,"€91,500",Laois,Indoor Gym Facility at Laois Centre of Excellence
Letterkenny Tennis Club,"€53,500",Donegal,Club site development for regional centre status
Limerick City & County Council,"€96,500",Limerick,Newcastle West Regional Athletics Hub
Longford County Council,"€107,500",Longford,Extension Works (Gymnasium) - The Mall Complex
Louth County Council,"€92,500",Louth,Municipal Regional Athletics Facility - Phase 1
Mayo County Board GAA,"€65,500",Mayo,Mayo GAA Training Campus
Mountaineering Ireland,"€7,500",Dublin,Climbing & Walking - Non-personal equipment
"Munster Regional Trout Angling
Council","€2,000",Cork,Angling Training and Safety Equipment Purchase
Offaly GAA,"€89,000",Offaly,Floodlighting of Offaly GAA’s Centre of Excellence
Padel Federation of Ireland,"€2,000",Dublin,Padel Academy non personal equipment
Pentathlon Ireland,"€8,000",Dublin,Pentathlon Ireland: Participation Equipment
Roscommon County Board GAA,"€111,500",Roscommon,Dermot Earley Centre Of Excellence
Rowing Ireland,"€66,500",Cork,Floating Launch House & Pontoon
Scouting Ireland Ltd.,"€6,500",Dublin,Expansion of climbing based activities
"SHERCOCK SPORTS AND
RECREATIONAL FACILITIES LTD","€89,000",Cavan,Regional Indoor Athletics & Sports Centre -Phase 1
Special Olympics Ireland,"€16,500",Dublin,Football and Floorball Development
Swim Ireland,"€56,000",Dublin,Swim Ireland - National & Regional Equipment
"The Association of Irish Riding
Clubs Limited","€5,000",Kildare,Equestrian Timing Equipment
The Football Association of Ireland,"€74,000",Dublin,FAI Sports Equipment
The Football Association of Ireland,"€56,000",Wexford,Ferrycarrig Park Renovations
TREC Ireland,€500,Kerry,Equestrian Obstacles
Tuamgraney Handball Club,"€15,000",Clare,Female Changing Room / Heat & Ventilation System
"Tullow & South Leinster Tennis &
Sports Club","€86,000",Carlow,Phase 2b (part 2)
Waterford GAA,"€98,000",Waterford,Walsh Park Stadium Upgrade
Waterford Institute of Technology,"€37,500",Waterford,"2K Run/Walk Lighting, Sprint Track, Equipment"
Weightlifting Ireland,"€18,000",Cork,Weightlifting Ireland Equipment Application
Wexford County Council,"€86,000",Wexford,Pearse Park Resurfacing Project Athletics Track
Wexford County Council,"€92,500",Wexford,Enniscorthy Sports Hub phase 2
